id,ev_id,o_id,ev_type,time,latitude,longitude,depth,mag_type,mag,mag_plot_size,method_id,evaluation_mode,author,rms,az_gap,num_phase
44,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwkobaaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125216.371381.6077829,None,2024-04-15T12:52:06.152950Z,46.51046825,8.476070091,-1398.011962,MwA,-4.467788032,0.687896757,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.74E-04,189.3001144,5
45,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwltsdtn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125342.094358.6080443,None,2024-04-15T12:53:31.759676Z,46.51053542,8.476218399,-1380.64349,MwA,-4.18362534,0.954123534,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,7.48E-05,150.2671853,9
46,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwlvltaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125346.781046.6080643,None,2024-04-15T12:53:36.505857Z,46.5105407,8.476225473,-1380.22168,MwA,-3.876198819,1.359307987,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000101483,101.1209909,14
47,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwmdcbna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125407.392404.6081438,None,2024-04-15T12:53:57.132682Z,46.51051964,8.476138142,-1401.245474,MwA,-3.606872627,1.853450384,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,9.42E-05,94.86964187,16
48,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwmpwaaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125441.94317.6082348,None,2024-04-15T12:54:31.648172Z,46.51053535,8.476210185,-1380.705472,MwA,-4.299264538,0.835189468,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,4.99E-05,96.02948303,9
49,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwmwiugn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125500.311923.6082817,None,2024-04-15T12:54:49.201174Z,46.51054077,8.476232605,-1381.614074,MwA,-4.32244774,0.813192582,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,2.66E-05,200.0006275,5
50,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwnjbftn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125533.710282.6083760,None,2024-04-15T12:55:23.567810Z,46.51049359,8.475990303,-1387.658939,MwA,-4.438628673,0.711382114,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.23E-04,141.3990692,7
51,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwntbrtn,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125600.973359.6085000,None,2024-04-15T12:55:50.657661Z,46.5104264,8.47598116,-1398.56337,MwA,-3.573282018,1.926532187,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,1.46E-04,66.02575533,14
52,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwnukqna,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125604.514438.6085215,not existing,2024-04-15T12:55:54.290425Z,46.51057983,8.47608539,-1392.487533,MwA,-4.346573287,0.790916498,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.00023952,145.1552235,6
53,smi:ch.ethz.bulgg/bedretto-dev2/Event/2024hjwnyreaa,smi:ch.ethz.bulgg/bedretto-dev2/Origin/20240415125616.294997.6085877,None,2024-04-15T12:56:05.791207Z,46.51054063,8.47623463,-1380.290256,MwA,-3.948417387,1.250859654,smi:org.gfz-potsdam.de/geofon/StdLoc_GridSearch+LeastSquares,automatic,scanloc-v@bedretto-dev2,0.000105027,94.6457761,15
